Alpha-numeric code(s),Alpha-numeric code(s),Station name,Station name,Station name,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
In operation,Future,English • Malay,Chinese,Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
EW6,N/A,Kembangan,景万岸,கெம்பாங்கான்,4 November 1989,Frankel,KEM,Bedok,
EW7,N/A,Eunos,友诺士,யூனுஸ்,4 November 1989,Eunos,EUN,Geylang,Eunos Bus Interchange
EW8  CC9,N/A,Paya Lebar,巴耶利峇,பாய லேபார்,4 November 1989,Paya Lebar,PYL,Geylang,
EW9,N/A,Aljunied,阿裕尼,அல்ஜூனிட்,4 November 1989,Aljunied,ALJ,Geylang,
EW10,N/A,Kallang,加冷,காலாங்,4 November 1989,Geylang,KAL,Kallang,Lorong 1 Geylang Bus Terminal
EW11,N/A,Lavender,劳明达,லவண்டர்,4 November 1989,Crawford,LVR,Kallang,
EW12  DT14,N/A,Bugis,武吉士,பூகிஸ்,4 November 1989,"Rochore, Victoria",BGS,"Downtown Core, Rochor",
EW13  NS25,N/A,City Hall,政府大厦,நகர மண்டபம்,12 December 1987,Saint Andrew's,CTH,Downtown Core,
EW14  NS26,N/A,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,12 December 1987,Central,RFP,Downtown Core,
EW15,N/A,Tanjong Pagar,丹戎巴葛,தஞ்சோங் பகார்,12 December 1987,Maxwell,TPG,Downtown Core,Shenton Way Bus Terminal
EW16  NE3,TE17,Outram Park,欧南园,ஊட்ரம் பார்க்,12 December 1987,Outram Park,OTP,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
EW17,N/A,Tiong Bahru,中峇鲁,தியோங் பாரு,12 March 1988,Tiong Bahru,TIB,Bukit Merah,
EW18,N/A,Redhill,红山,ரெட்ஹில்,12 March 1988,Alexandra,RDH,Bukit Merah,
EW19,N/A,Queenstown,女皇镇,குவீன்ஸ்டவுன்,12 March 1988,"Princess, Commonwealth",QUE,Queenstown,
EW20,N/A,Commonwealth,联邦,காமன்வெல்த்,12 March 1988,Queenstown,COM,Queenstown,
EW21  CC22,N/A,Buona Vista,波那维斯达,புவன விஸ்தா,12 March 1988,North Buona Vista,BNV,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal
EW22,N/A,Dover,杜弗,டோவெர்,18 October 2001,Polytechnic,DVR,Queenstown,
EW23,N/A,Clementi,金文泰,கிளிமெண்டி,12 March 1988,Clementi,CLE,Clementi,Clementi Bus Interchange
EW24  NS1,JE5,Jurong East,裕廊东,ஜூரோங் கிழக்கு,5 November 1988,"Jurong, Jurong Town",JUR,Jurong East,Jurong East Bus Interchange
EW25,N/A,Chinese Garden,裕华园,சீனத் தோட்டம்,5 November 1988,Jurong Lake,CNG,Jurong East,
EW26,N/A,Lakeside,湖畔,ஏரிக்கரை,5 November 1988,Corporation,LKS,Jurong West,
EW27,JS8,Boon Lay,文礼,பூன் லே,6 July 1990,Jurong West,BNL,Jurong West,Boon Lay Bus Interchange
EW28,N/A,Pioneer,先驱,பயனியர்,28 February 2009,Pioneer,PNR,Jurong West,
EW29,N/A,Joo Koon,裕群,ஜூ கூன்,28 February 2009,Joo Koon,JKN,Pioneer Planning Area,Joo Koon Bus Interchange
EW30,N/A,Gul Circle,卡尔圈,கல் சர்க்கல்,18 June 2017,Tuas,GCL,"Pioneer Planning Area, Tuas",
EW31,N/A,Tuas Crescent,大士弯,துவாஸ் கிரசண்ட்,18 June 2017,Tuas Crescent,TCR,Tuas,
EW32,N/A,Tuas West Road,大士西路,துவாஸ் வெஸ்ட் ரோடு,18 June 2017,Tuas West,TWR,Tuas,
EW33,N/A,Tuas Link,大士连路,துவாஸ் லிங்க்,18 June 2017,Tuas Link,TLK,Tuas,Tuas Bus Terminal
Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL),Changi Airport Branch Line (CGL)
CG1  DT35,TE [a],Expo,博览,எக்ஸ்போ,10 January 2001,Somapah,XPO,Tampines,
CG2,TE [a],Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,8 February 2002,Changi Airport,CGA,Changi,"Singapore Changi Airport,  Changi Airport PTB2 Bus Terminal"
North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL)
NE1  CC29,N/A,HarbourFront,港湾,துறைமுகம்,20 June 2003,World Trade Centre,HBF,Bukit Merah,HarbourFront Bus Interchange Sentosa Express
N/A,NE2,"Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station."
